PUSH-UP STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
170,1,7,16,26,37
180,1,7,16,26,36
190,1,7,16,25,35
200,1,7,16,24,34
210,2,7,15,24,33
220,2,7,15,23,32
230,2,7,15,23,32
240,2,7,14,22,31
250,2,7,14,22,30
260,2,7,13,22,29
270,2,7,13,21,29
280,2,7,13,21,28
290,2,7,12,20,27
300,1,7,12,19,27
310,1,7,12,19,26
,,,,,
TRICEPS DIP STANDARDS FOR MALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,4,12,23,34
120,< 1,5,13,23,33
130,< 1,6,13,23,33
140,< 1,6,13,23,32
150,< 1,6,13,22,32
160,< 1,6,13,22,31
170,1,6,13,21,30
180,1,6,13,21,30
190,1,6,13,21,29
200,1,6,13,20,28
210,1,6,12,20,28
220,1,6,12,19,27
230,1,6,12,19,26
240,1,6,12,19,26
250,1,6,12,18,25
260,1,6,11,18,24
270,1,6,11,17,24
280,1,6,11,17,23
290,1,6,10,17,23
300,1,6,10,16,22
310,1,6,10,16,21
,,,,,
TRICEPS DIP STANDARDS FOR MALES AGED 70-79,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,3,10,18,27
120,< 1,4,10,18,26
130,< 1,4,10,18,26
140,< 1,4,10,18,26
150,< 1,5,10,18,25
160,< 1,5,10,18,25
170,1,5,10,17,24
180,1,5,10,17,24
190,1,5,10,17,23
200,1,5,10,16,23
210,1,5,10,16,22
220,1,5,10,15,21
230,1,5,10,15,21
240,1,5,9,15,20
250,1,5,9,14,20
260,1,5,9,14,19
270,1,5,9,14,19
280,1,4,9,14,19
290,1,4,8,13,18
300,1,4,8,13,18
310,1,4,8,13,17
,,,,,
TRICEPS DIP STANDARDS FOR MALES AGED 80-89,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,3,8,15,22
120,< 1,3,8,15,21
130,< 1,4,8,15,21
140,< 1,4,8,15,21
150,< 1,4,8,14,20
160,< 1,4,8,14,20
170,< 1,4,8,14,19
180,< 1,4,8,14,19
190,< 1,4,8,13,18
200,< 1,4,8,13,18
210,1,4,8,13,18
220,1,4,8,12,17
230,1,4,8,12,17
240,1,4,7,12,16
250,1,4,7,11,16
